Player Ali:
(coordinates recorded in cm precision)
  00:47:589: (x: -513, y: -1150)
  00:47:823: (x: -350, y: -1261)
  00:47:897: (x: -350, y: -1261)
  00:48:143: (x: -350, y: -1261)
  00:48:218: (x: -478, y: -1135)
  00:48:457: (x: -478, y: -1135)
  00:48:529: (x: -478, y: -1135)
  00:48:775: (x: -357, y: -1189)
  00:48:836: (x: -357, y: -1189)
  00:49:092: (x: -484, y: -1143)
  00:49:146: (x: -484, y: -1143)
  00:49:405: (x: -484, y: -1143)
  00:49:453: (x: -484, y: -1143)
  00:49:721: (x: -219, y: -1329)
  00:49:763: (x: -219, y: -1329)
  00:50:033: (x: -396, y: -1180)
  00:50:082: (x: -396, y: -1180)
  00:50:343: (x: -396, y: -1180)
  00:50:392: (x: -396, y: -1180)
  00:50:652: (x: -332, y: -1279)
  00:50:706: (x: -332, y: -1279)
  00:50:958: (x: -609, y: -1144)
  00:51:017: (x: -609, y: -1144)
  00:51:273: (x: -609, y: -1144)
  00:51:331: (x: -321, y: -1243)
  00:51:585: (x: -321, y: -1243)
  00:51:652: (x: -321, y: -1243)
  00:51:898: (x: -409, y: -1209)
  00:51:960: (x: -409, y: -1209)
  00:52:210: (x: -343, y: -1220)
  00:52:274: (x: -343, y: -1220)
  00:52:532: (x: -343, y: -1220)
  00:52:588: (x: -343, y: -1220)
  00:52:851: (x: -334, y: -1272)
  00:52:907: (x: -334, y: -1272)
  00:53:164: (x: -354, y: -1266)
  00:53:222: (x: -354, y: -1266)
  00:53:483: (x: -354, y: -1266)
  00:53:533: (x: -354, y: -1266)
  00:53:798: (x: -355, y: -1246)
  00:53:847: (x: -355, y: -1246)
  00:54:117: (x: -421, y: -1219)
  00:54:166: (x: -421, y: -1219)
  00:54:431: (x: -421, y: -1219)
  00:54:477: (x: -379, y: -1218)
  00:54:751: (x: -379, y: -1218)
  00:54:792: (x: -379, y: -1218)
  00:55:062: (x: -186, y: -1343)
  00:55:098: (x: -186, y: -1343)
  00:55:378: (x: -376, y: -1198)
  00:55:418: (x: -376, y: -1198)
  00:55:692: (x: -376, y: -1198)
  00:55:727: (x: -376, y: -1198)
  00:56:014: (x: -366, y: -1196)
  00:56:044: (x: -366, y: -1196)
  00:56:322: (x: -236, y: -1260)
